# Data digitized from Fig. 14a of Phillips, Annu. Rev. Condens. Matter Phys. 2015. 6:85–111.
# Data are for WT lac repressor.
[IPTG] (mM),fold change
9.899553766184622e-06,0.04069737452932376
0.0009743248304039901,0.07278760681556372
0.0020439288607228363,0.10528360929144977
0.004049167669375694,0.1994773129760492
0.0075843703842860734,0.34302367565894665
0.015782435900750708,0.459465965165661
0.029456448152963877,0.6400474544798063
0.04805005826272132,0.6205567304551161
0.06179344160742073,0.6725434569556922
0.09557573700581276,0.6727772906243017
0.12343918212321378,0.6803218651673804
0.20011717609444318,0.7250253606368531
0.24640765817654417,0.6955072987053182
0.39046488914620214,0.7105689379481099
0.7591580146463864,0.7331476418906142
1.480551367107713,0.7236292360860372
3.1080999106400746,0.7487182132356737
6.044332211115375,0.7688279087360947
11.494880526997445,0.7543577311256687
24.165452092943934,0.7646326576228059
